user_id,recommendations
75,"[874972, 1029743, 1082185, 1106523, 995242]"
76,"[874972, 1029743, 1082185, 981760, 951590]"
77,"[874972, 840361, 962229, 1082185, 1126899]"
78,"[874972, 12262992, 9297055, 1082185, 923746]"
79,"[874972, 862349, 15926886, 1053690, 871756]"
80,"[874972, 828867, 842707, 901062, 986912]"
81,"[874972, 995242, 1000050, 1076769, 840601]"
82,"[874972, 917816, 929726, 12599756, 1029743]"
83,"[874972, 840361, 1075214, 1029743, 1082185]"
84,"[874972, 830887, 1029743, 1082185, 1106523]"
85,"[14106445, 859075, 840361, 1139782, 840386]"
86,"[874972, 1106523, 1101010, 951590, 971922]"
87,"[874972, 965963, 1079528, 8293385, 1029743]"
88,"[874972, 12810393, 1070820, 8090521, 832678]"
89,"[874972, 1029743, 1082185, 981760, 951590]"
90,"[874972, 1082185, 1003188, 1070820, 1041796]"
91,"[874972, 1113667, 1109638, 1029743, 1088147]"
92,"[874972, 6979005, 880150, 900802, 1080853]"
93,"[874972, 1029743, 1082185, 981760, 951590]"
94,"[874972, 1082185, 866211, 979707, 840361]"
95,"[874972, 923746, 979707, 1082185, 995242]"
96,"[874972, 1029743, 1082185, 981760, 951590]"
97,"[874972, 1082185, 923746, 995242, 1075368]"
98,"[874972, 1058997, 879755, 1091858, 866211]"
99,"[874972, 1096036, 909894, 995242, 1082185]"
100,"[863762, 12810393, 1034405, 985999, 907631]"
101,"[12731432, 1082185, 862349, 8090521, 899624]"
102,"[874972, 1029743, 1082185, 981760, 951590]"
103,"[874972, 7409845, 1029743, 1082185, 1106523]"
104,"[906335, 908531, 866211, 995242, 1082185]"
105,"[874972, 1082185, 923746, 965766, 879755]"
106,"[874972, 8090521, 916122, 962568, 844179]"
107,"[874972, 1037840, 916381, 1029743, 1082185]"
108,"[874972, 1029743, 981760, 1082185, 951590]"
109,"[874972, 1082185, 908531, 916122, 979707]"
110,"[874972, 1070015, 1069621, 1106523, 1044078]"
111,"[874972, 6602327, 840601, 12811532, 8090536]"
112,"[874972, 12384177, 7168026, 1029743, 1082185]"
113,"[1113274, 872137, 999104, 7410071, 947427]"
114,"[10150194, 1044078, 1116096, 1029743, 5568489]"
115,"[947858, 1133018, 1021519, 908531, 981760]"
116,"[874972, 923746, 1037863, 1029743, 1082185]"
117,"[874972, 1082185, 995242, 962229, 9420312]"
118,"[15972905, 1082185, 1006184, 1058997, 845208]"
119,"[874972, 1082185, 962568, 995242, 940947]"
120,"[874972, 1029743, 1082185, 981760, 951590]"
121,"[874972, 8090537, 840361, 835098, 15926887]"
122,"[874972, 9419525, 7409971, 1035676, 1053176]"
123,"[874972, 8090509, 898510, 1029743, 981760]"
124,"[874972, 844179, 12263788, 833025, 1035676]"
125,"[14106445, 923746, 908531, 995242, 866211]"
126,"[874972, 1019247, 962185, 898068, 1029743]"
127,"[874972, 5568378, 5585510, 995242, 1082185]"
128,"[874972, 981760, 901062, 1029743, 1082185]"
129,"[874972, 1106523, 981760, 1082185, 951590]"
130,"[874972, 1029743, 1082185, 981760, 951590]"
131,"[874972, 990656, 903609, 1082185, 902238]"
132,"[1139216, 866211, 5587938, 1082185, 1126899]"
133,"[874972, 1082185, 1081177, 995242, 866211]"
134,"[874972, 5592931, 6533362, 913210, 838186]"
135,"[874972, 13115813, 879876, 852360, 826249]"
136,"[874972, 899624, 962568, 8090521, 1038462]"
137,"[874972, 1029743, 1082185, 981760, 951590]"
138,"[874972, 5569230, 9836106, 965041, 1009449]"
139,"[12262830, 5569230, 976199, 1082185, 1058997]"
140,"[874972, 832678, 951821, 914190, 5591083]"
141,"[831407, 1048472, 1108854, 1029743, 1082185]"
142,"[874972, 990797, 838186, 1082212, 1013826]"
143,"[874972, 965766, 978077, 1106523, 896862]"
144,"[874972, 1029743, 1082185, 981760, 951590]"
145,"[874972, 1082185, 1106523, 981760, 951590]"
146,"[874972, 995242, 1127470, 845163, 1092149]"
147,"[874972, 1029743, 1082185, 981760, 951590]"
148,"[874972, 1082185, 1106523, 981760, 951590]"
149,"[874972, 1029743, 5569230, 1082185, 981760]"
150,"[874972, 1029743, 1082185, 981760, 951590]"
151,"[874972, 1028473, 824005, 5569230, 1005456]"
152,"[874972, 1029743, 1082185, 981760, 951590]"
153,"[874972, 1062128, 909750, 15716403, 1072523]"
154,"[874972, 1029743, 1082185, 981760, 951590]"
155,"[874972, 1082185, 1106523, 981760, 951590]"
156,"[874972, 1057260, 833025, 990797, 835098]"
157,"[874972, 1126899, 916122, 923746, 948832]"
158,"[10149640, 1082185, 10341697, 862349, 12731714]"
159,"[874972, 1082185, 9420312, 1004906, 1106301]"
160,"[899019, 1082185, 862349, 961554, 6034857]"
161,"[917384, 979707, 1119051, 868764, 5568378]"
162,"[874972, 862349, 916122, 1122358, 10456575]"
163,"[874972, 1029743, 1082185, 981760, 951590]"
164,"[874972, 1092026, 13189726, 1082185, 1029743]"
165,"[874972, 1029743, 1082185, 981760, 951590]"
166,"[874972, 995242, 1117690, 1082185, 1053690]"
167,"[874972, 983316, 1042765, 1009046, 1029743]"
168,"[874972, 1029743, 1082185, 1004906, 1018050]"
169,"[874972, 1037894, 12757316, 1029743, 1082185]"
170,"[874972, 1029743, 981760, 1082185, 951590]"
171,"[874972, 15737492, 9913338, 907625, 933354]"
172,"[874972, 1029743, 1082185, 1106523, 995242]"
173,"[874972, 1029743, 1082185, 981760, 951590]"
174,"[825343, 951590, 900586, 1050851, 1128016]"
175,"[874972, 1029743, 1082185, 981760, 951590]"
176,"[874972, 1029743, 1082185, 981760, 951590]"
177,"[874972, 1029743, 1082185, 981760, 951590]"
178,"[874972, 1106523, 1110572, 963686, 8090521]"
179,"[874972, 1029743, 1082185, 981760, 951590]"
180,"[874972, 1082185, 1106523, 981760, 951590]"
181,"[874972, 1029743, 981760, 1082185, 951590]"
182,"[874972, 1029743, 1082185, 981760, 951590]"
183,"[874972, 15926712, 883404, 1029743, 1082185]"
184,"[848029, 981760, 916990, 1082185, 997907]"
185,"[874972, 1029743, 1082185, 923746, 983584]"
186,"[874972, 1029743, 1082185, 981760, 951590]"
187,"[849202, 908531, 961554, 971949, 15926775]"
188,"[874972, 879755, 847982, 1029743, 1082185]"
189,"[874972, 1029743, 1082185, 981760, 951590]"
190,"[874972, 825365, 942817, 1079228, 1029743]"
191,"[874972, 1039156, 1029743, 1082185, 1106523]"
192,"[874972, 9803601, 1129576, 1029743, 5569230]"
193,"[1134483, 1106523, 831712, 944139, 1029743]"
194,"[874972, 923746, 825541, 1082185, 845208]"
195,"[12262830, 995242, 1082185, 981760, 908531]"
196,"[970747, 1029743, 1082185, 1106523, 995242]"
197,"[874972, 7462562, 1126899, 838186, 882830]"
198,"[848029, 1082185, 8090653, 1029743, 1075368]"
199,"[874972, 9523058, 849843, 1029743, 1082185]"
200,"[874972, 1058997, 909894, 898601, 1029743]"
201,"[874972, 5568378, 844179, 1133018, 6034857]"
202,"[1137346, 916122, 944534, 1019247, 999779]"
203,"[874972, 5569471, 948384, 1029743, 914190]"
204,"[874972, 5569230, 1053690, 15926844, 9911484]"
205,"[1021324, 840361, 12731621, 1082185, 1106523]"
206,"[874972, 1029743, 1082185, 981760, 951590]"
207,"[874972, 1029743, 1082185, 981760, 951590]"
208,"[874972, 981760, 965766, 1082185, 862349]"
209,"[825343, 8090537, 819978, 1029743, 899624]"
210,"[12262778, 1082185, 1106523, 12810393, 1135868]"
211,"[874972, 1110572, 1105301, 832678, 962229]"
212,"[874972, 995242, 13842214, 1056509, 847982]"
213,"[1000753, 1102959, 1029743, 1082185, 1106523]"
214,"[874972, 1047769, 944836, 1082185, 901062]"
215,"[874972, 981760, 916122, 1082185, 916993]"
216,"[874972, 6533936, 974204, 1029743, 1082185]"
217,"[1000753, 995242, 908531, 1082185, 899624]"
218,"[969725, 1085604, 894439, 1029743, 962568]"
219,"[1034176, 995242, 5569471, 1082185, 981760]"
220,"[874972, 995242, 1016800, 866211, 1015280]"
221,"[874972, 1082185, 981760, 1133018, 12427353]"
222,"[874972, 859075, 962568, 1082185, 1058997]"
223,"[874972, 1029743, 981760, 1082185, 951590]"
224,"[874972, 845265, 10285144, 850925, 1029743]"
225,"[874972, 9420312, 902172, 987122, 1019722]"
226,"[874972, 1029743, 1082185, 1106523, 995242]"
227,"[874972, 890695, 1104604, 908531, 898601]"
228,"[874972, 909510, 1101725, 1029743, 1082185]"
229,"[874972, 1106523, 981760, 1082185, 951590]"
230,"[874972, 845193, 13003092, 1029743, 1044078]"
231,"[874972, 1029743, 1082185, 981760, 951590]"
232,"[1137346, 979707, 870547, 1106523, 923746]"
233,"[833940, 1082185, 995242, 859075, 1068719]"
234,"[874972, 1029743, 1082185, 981760, 951590]"
235,"[1110111, 1133018, 917646, 908531, 862732]"
236,"[874972, 857554, 829852, 1072405, 1076056]"
237,"[874972, 1029743, 1082185, 981760, 951590]"
238,"[874972, 1029743, 1082185, 981760, 951590]"
239,"[874972, 1082185, 893018, 1133018, 1004906]"
240,"[12731432, 1082185, 1106523, 923746, 899624]"
241,"[874972, 1029743, 1082185, 1106523, 995242]"
242,"[874972, 961554, 965766, 1029743, 1082185]"
243,"[15972905, 1053690, 932179, 1126899, 961554]"
244,"[874972, 13115898, 5563934, 1082185, 1133018]"
245,"[874972, 1029743, 1082185, 1106523, 995242]"
246,"[874972, 1070820, 1042438, 1051468, 922127]"
247,"[874972, 1070845, 1098844, 1082185, 1133018]"
248,"[874972, 1029743, 1082185, 1106523, 995242]"
249,"[874972, 1029743, 15926886, 1029743, 1082185]"
250,"[15972298, 962568, 965766, 995242, 951590]"
251,"[874972, 1075368, 923746, 1070820, 8090521]"
252,"[874972, 1029743, 1082185, 1106523, 995242]"
253,"[874972, 1073150, 1068830, 832678, 1101173]"
254,"[874972, 982493, 1029743, 1082185, 1106523]"
255,"[874972, 1082185, 1106523, 981760, 951590]"
256,"[874972, 979707, 1101173, 1075368, 862349]"
257,"[874972, 993638, 883404, 1029743, 1082185]"
258,"[1048257, 15926844, 1000050, 995242, 6979518]"
259,"[874972, 1082185, 940947, 1039156, 819487]"
260,"[874972, 1082185, 834117, 9242345, 909714]"
261,"[874972, 1029743, 1082185, 981760, 951590]"
262,"[874972, 859075, 1043751, 1040807, 1124432]"
263,"[1002787, 1082185, 866211, 995242, 908531]"
264,"[874972, 961554, 9836415, 1018740, 1132771]"
265,"[874972, 1029743, 1082185, 1106523, 995242]"
266,"[1082627, 1070820, 901062, 1082185, 981760]"
267,"[874972, 1029743, 1082185, 1106523, 995242]"
268,"[874972, 837107, 15716719, 869903, 15716677]"
269,"[874972, 1101173, 895930, 1106523, 981760]"
270,"[1103808, 981760, 951590, 1106523, 1053690]"
271,"[874972, 1058997, 981760, 908531, 1004906]"
272,"[874972, 1029743, 1082185, 981760, 951590]"
273,"[9487498, 985893, 13115501, 6979579, 859010]"
274,"[874972, 1084177, 830795, 841228, 1029743]"
275,"[874972, 6463451, 1135552, 1082185, 1133018]"
276,"[12810391, 995896, 887503, 962568, 12731544]"
277,"[874972, 1029743, 1082185, 981760, 951590]"
278,"[874972, 995242, 899624, 1044078, 8090537]"
279,"[874972, 1082185, 1106523, 981760, 951590]"
280,"[874972, 1106523, 1029743, 1082185, 1106523]"
281,"[874972, 862349, 5585510, 1082185, 833025]"
282,"[874972, 6034857, 1089392, 5572828, 10344718]"
283,"[878715, 854852, 1044078, 995242, 1082185]"
284,"[874972, 1101173, 996156, 12301405, 15506577]"
285,"[874972, 1034405, 1075827, 1082185, 981760]"
286,"[10198378, 1119051, 1029743, 1082185, 1106523]"
287,"[16053266, 995242, 923746, 1082185, 859075]"
288,"[874972, 1126899, 908531, 1082185, 916122]"
289,"[874972, 962568, 1022254, 981760, 12384177]"
290,"[874972, 923673, 13777049, 1082185, 995242]"
291,"[874972, 1044078, 6704207, 5568378, 8090537]"
292,"[874972, 981760, 1053690, 1106523, 1082544]"
293,"[874972, 1029743, 1082185, 981760, 951590]"
294,"[874972, 908531, 921836, 995242, 866211]"
295,"[874972, 1029743, 1082185, 981760, 951590]"
296,"[874972, 1029743, 1082185, 981760, 951590]"
297,"[874972, 8090521, 1110572, 908531, 899624]"
298,"[874972, 1029743, 1082185, 981760, 951590]"
299,"[874972, 1029743, 1082185, 981760, 951590]"
300,"[874972, 1029743, 1082185, 1106523, 995242]"
301,"[874972, 916122, 844165, 1082185, 995242]"
302,"[874972, 1005274, 1062128, 887342, 1101174]"
303,"[874972, 908531, 844179, 995242, 1082185]"
304,"[874972, 866211, 990797, 1029743, 1082185]"
305,"[874972, 913210, 15452457, 1011876, 9858847]"
306,"[874972, 833025, 868423, 1082185, 961554]"
307,"[874972, 1036139, 927028, 1074040, 1039156]"
308,"[874972, 950206, 1011920, 1110572, 963835]"
309,"[874972, 1029743, 981760, 1082185, 951590]"
310,"[874972, 1029743, 1082185, 981760, 951590]"
311,"[874972, 1110572, 882826, 823862, 1029743]"
312,"[874972, 965766, 901776, 936830, 1040935]"
313,"[874972, 1029743, 1082185, 981760, 951590]"
314,"[833940, 1133018, 825176, 1082185, 951590]"
315,"[874972, 1029743, 1082185, 981760, 951590]"
316,"[836445, 979707, 5585510, 1096036, 5568378]"
317,"[874972, 1082185, 908531, 1029743, 961554]"
318,"[874972, 1106301, 977481, 5568729, 918335]"
319,"[874972, 1029743, 1082185, 981760, 951590]"
320,"[874972, 1029743, 1082185, 981760, 951590]"
321,"[874972, 979707, 5568729, 944836, 964520]"
322,"[874972, 1044078, 901062, 979707, 12984227]"
323,"[826666, 923746, 1122358, 1068719, 921836]"
324,"[15972074, 1022254, 993466, 1082185, 901062]"
325,"[12810464, 5569230, 6034857, 1082185, 995242]"
326,"[874972, 995242, 13841744, 8090521, 1040807]"
327,"[874972, 1133018, 15926844, 883963, 884774]"
328,"[1048257, 1005456, 1051516, 1070820, 979707]"
329,"[948670, 979707, 919180, 1029743, 1082185]"
330,"[874972, 1106523, 923746, 1004906, 1053690]"
331,"[874972, 1082185, 862349, 1029743, 1082185]"
332,"[874972, 1082185, 862349, 908531, 1044078]"
333,"[874972, 899624, 1029743, 1082185, 1106523]"
334,"[874972, 839438, 6034577, 1029743, 1082185]"
335,"[874972, 1029743, 1082185, 981760, 951590]"
336,"[874972, 1029743, 981760, 1082185, 951590]"
337,"[874972, 1082185, 1106523, 981760, 951590]"
338,"[874972, 923746, 899624, 1082185, 1133018]"
339,"[874972, 840361, 1069538, 1106523, 1044188]"
340,"[874972, 1029743, 1082185, 981760, 951590]"
341,"[874972, 1029743, 1082185, 981760, 951590]"
342,"[1000753, 854852, 847982, 870515, 1029743]"
343,"[874972, 961554, 1040807, 933835, 1018740]"
344,"[874972, 1029743, 1082185, 981760, 951590]"
345,"[874972, 1071759, 942817, 6602697, 987562]"
346,"[825343, 1082185, 986912, 1029743, 981760]"
347,"[874972, 1024306, 1029743, 1082185, 1106523]"
348,"[947858, 1106523, 923746, 5585510, 990797]"
349,"[9832469, 1082185, 995242, 1044078, 900802]"
350,"[874972, 1106523, 1044078, 1029743, 1082185]"
351,"[1000753, 866211, 6034857, 1082185, 923746]"
352,"[874972, 1029743, 1082185, 981760, 951590]"
353,"[874972, 948086, 1029743, 1082185, 1106523]"
354,"[849202, 1082185, 1058997, 961554, 962568]"
355,"[874972, 1029743, 1082185, 981760, 951590]"
356,"[874972, 926905, 1084968, 1029743, 1082185]"
357,"[833940, 908531, 1133018, 909894, 10344586]"
358,"[14106445, 1015296, 966005, 1106523, 5568489]"
359,"[874972, 1029743, 1082185, 981760, 951590]"
360,"[874972, 1110572, 1037894, 6979518, 1029743]"
361,"[874972, 899624, 1053690, 1082185, 1133018]"
362,"[874972, 983795, 922127, 923746, 1070015]"
363,"[874972, 1029743, 1082185, 981760, 951590]"
364,"[874972, 1082185, 923746, 908531, 965766]"
365,"[874972, 832678, 1107553, 1082185, 981760]"
366,"[874972, 1065593, 1128240, 948232, 1110292]"
367,"[9524291, 917033, 15452355, 1082185, 862349]"
368,"[874972, 1029743, 1082185, 981760, 951590]"
369,"[874972, 1106523, 923746, 866211, 1044078]"
370,"[874972, 1029743, 1082185, 981760, 951590]"
371,"[874972, 944836, 976199, 940947, 1022254]"
372,"[874972, 1029743, 1082185, 981760, 951590]"
373,"[874972, 986912, 999779, 1094955, 9926758]"
374,"[1108094, 1037863, 1009046, 1029743, 923746]"
375,"[874972, 885023, 1058021, 1029743, 1082185]"
376,"[874972, 833025, 1006184, 1044078, 1096036]"
377,"[874972, 1013641, 994223, 1138443, 1029743]"
378,"[10150194, 1082185, 833025, 15926886, 910673]"
379,"[874972, 1029743, 1082185, 981760, 951590]"
380,"[1013928, 995242, 1024306, 1082185, 923746]"
381,"[874972, 1106523, 923746, 859075, 6034857]"
382,"[874972, 1106523, 926905, 7168026, 1043787]"
383,"[874972, 1082185, 1058997, 961554, 979707]"
384,"[825343, 9483753, 828143, 1075368, 1055504]"
385,"[874972, 854852, 1010190, 1082185, 914577]"
386,"[874972, 1082185, 995242, 1053690, 5568378]"
387,"[878715, 1082185, 1058997, 981760, 916990]"
388,"[874972, 995242, 5569327, 961554, 1076608]"
389,"[887474, 947798, 1131169, 1058997, 13115981]"
390,"[874972, 927860, 999714, 1029743, 1082185]"
391,"[874972, 1082185, 1106523, 981760, 951590]"
392,"[874972, 825176, 862010, 1082185, 1106523]"
393,"[1013928, 1070272, 896085, 1029743, 1108168]"
394,"[874972, 1082185, 1133018, 986912, 13842090]"
395,"[874972, 5568378, 1098066, 1053690, 926233]"
396,"[874972, 1082185, 993441, 834103, 1029743]"
397,"[874972, 1044078, 844179, 995242, 1082185]"
398,"[874972, 995242, 908531, 8090521, 1053690]"
399,"[874972, 1029743, 1082185, 981760, 951590]"
400,"[1111035, 6979545, 9333734, 5567702, 883404]"
401,"[874972, 13003094, 1068957, 1082185, 986912]"
402,"[970747, 916122, 979707, 12810393, 892573]"
403,"[874972, 1029743, 981760, 1082185, 951590]"
404,"[874972, 5569471, 9297191, 1092588, 971983]"
405,"[874972, 854852, 1126808, 961554, 916122]"
406,"[874972, 995242, 934399, 1082185, 1116821]"
407,"[9835223, 995242, 908531, 883404, 826249]"
408,"[874972, 1106523, 981760, 1082185, 951590]"
409,"[874972, 862349, 1004906, 1082185, 981760]"
410,"[874972, 923746, 871756, 995242, 962229]"
411,"[874972, 1029743, 1082185, 1106523, 995242]"
412,"[874972, 1082185, 979707, 995242, 986912]"
413,"[874972, 5585510, 838186, 1082185, 1106523]"
414,"[874972, 866211, 961554, 1029743, 1082185]"
415,"[864893, 1133018, 999104, 1056509, 5569327]"
416,"[874972, 1082185, 1106523, 981760, 951590]"
417,"[874972, 844165, 1105917, 995242, 1065593]"
418,"[874972, 916122, 965842, 1029743, 981760]"
419,"[874972, 1029743, 1082185, 981760, 951590]"
420,"[874972, 1029743, 961747, 1029743, 1082185]"
421,"[874972, 866211, 899624, 1082185, 1058997]"
422,"[874972, 1082185, 995242, 981760, 951590]"
423,"[874972, 1029743, 981760, 1082185, 951590]"
424,"[874972, 1029743, 1082185, 981760, 951590]"
425,"[866548, 1048727, 1092303, 1070820, 923746]"
426,"[14106445, 1082185, 866211, 862349, 961554]"
427,"[874972, 1029743, 840361, 1082185, 1037863]"
428,"[874972, 1082185, 995242, 981760, 951590]"
429,"[874972, 833025, 5585510, 995242, 1056509]"
430,"[874972, 995242, 1075368, 1082185, 983584]"
431,"[874972, 1029743, 1082185, 981760, 951590]"
432,"[874972, 907128, 975649, 858373, 825994]"
433,"[995151, 1137344, 963971, 1082185, 1106523]"
434,"[874972, 10121965, 1039876, 1065593, 10284972]"
435,"[874972, 899624, 8177622, 1135681, 15926775]"
436,"[874972, 1082185, 1106523, 981760, 951590]"
437,"[948670, 1039156, 13986274, 829802, 1029743]"
438,"[10149640, 961554, 926905, 1029743, 899624]"
439,"[874972, 1029743, 1082185, 981760, 951590]"
440,"[874972, 1029743, 1082185, 981760, 951590]"
441,"[874972, 1009046, 12810393, 1038985, 1124971]"
442,"[874972, 909894, 833025, 1126899, 1085604]"
443,"[874972, 923746, 866211, 862349, 1057260]"
444,"[874972, 1029743, 1082185, 981760, 951590]"
445,"[874972, 1029743, 1082185, 981760, 951590]"
446,"[874972, 1029743, 1082185, 1106523, 995242]"
447,"[1048507, 986912, 947326, 995242, 1057260]"
448,"[874972, 1029743, 981760, 1082185, 951590]"
449,"[874972, 1029743, 1053690, 859075, 913210]"
450,"[12810391, 1082185, 923746, 995242, 1044078]"
451,"[874972, 963868, 1004906, 916122, 1029743]"
452,"[874972, 1029743, 1082185, 981760, 951590]"
453,"[874972, 1029743, 1082185, 981760, 951590]"
454,"[848029, 981760, 1044078, 1082185, 995242]"
455,"[874972, 1029743, 1082185, 981760, 951590]"
456,"[874972, 1029743, 1082185, 981760, 951590]"
457,"[874972, 1082185, 844165, 1029743, 911311]"
458,"[874972, 961554, 1010164, 1058997, 1023958]"
459,"[863762, 1075313, 1039682, 972312, 885290]"
460,"[874972, 981760, 826385, 1029743, 1082185]"
461,"[874972, 995242, 985999, 909714, 1050851]"
462,"[874972, 1043751, 1137775, 995242, 13841744]"
463,"[948670, 1118757, 1045109, 1082185, 1133018]"
464,"[874972, 1082185, 923746, 995242, 961554]"
465,"[874972, 1082185, 1106523, 981760, 951590]"
466,"[874972, 832001, 10341697, 859191, 1029743]"
467,"[874972, 916122, 1135886, 834117, 1021562]"
468,"[874972, 1082185, 845208, 1106523, 908531]"
469,"[10150194, 979707, 885356, 1082185, 862349]"
470,"[874972, 1065593, 1030093, 15926886, 835098]"
471,"[874972, 995242, 8090521, 965766, 852360]"
472,"[874972, 1082185, 1106523, 981760, 951590]"
473,"[874972, 1106523, 981760, 1082185, 951590]"
474,"[874972, 1030093, 1065593, 7147145, 1029743]"
475,"[874972, 1029743, 1082185, 981760, 951590]"
476,"[874972, 1029743, 1082185, 981760, 951590]"
477,"[948670, 1029743, 879755, 13945244, 7167837]"
478,"[874972, 8090440, 1029743, 1082185, 1106523]"
479,"[874972, 1029743, 1082185, 1106523, 995242]"
480,"[874972, 1009449, 1029743, 1082185, 1106523]"
481,"[874972, 1029743, 1082185, 981760, 951590]"
482,"[836445, 1133018, 1004906, 1044078, 951590]"
483,"[874972, 879755, 1077588, 1029743, 1082185]"
484,"[833940, 995242, 951071, 984575, 819330]"
485,"[12810391, 1082185, 908531, 923746, 899624]"
486,"[874972, 1029743, 1082185, 981760, 951590]"
487,"[874972, 7169034, 906763, 1029743, 1082185]"
488,"[874972, 1029743, 1082185, 981760, 951590]"
489,"[874972, 909894, 845715, 1082185, 1058997]"
490,"[874972, 1029743, 981760, 1082185, 951590]"
491,"[874972, 994223, 1051468, 1041796, 828867]"
492,"[874972, 1029743, 951590, 1082185, 981760]"
493,"[874972, 949151, 1003188, 995242, 1004906]"
494,"[874972, 1029743, 1082185, 981760, 951590]"
495,"[874972, 995242, 1116821, 923746, 899201]"
496,"[874972, 1029743, 1082185, 981760, 951590]"
497,"[874972, 14019790, 837304, 942778, 911088]"
498,"[874972, 1029743, 1082185, 981760, 951590]"
499,"[874972, 1029743, 1082185, 981760, 951590]"
500,"[874972, 1029743, 1082185, 981760, 951590]"
501,"[874972, 1029743, 1082185, 981760, 951590]"
502,"[874972, 1029743, 908531, 866211, 859075]"
503,"[874972, 1003188, 855138, 866211, 1073150]"
504,"[874972, 1029743, 1082185, 981760, 951590]"
505,"[874972, 1127716, 13213480, 962991, 1029743]"
506,"[849202, 1026118, 1104414, 1043837, 855138]"
507,"[874972, 1126899, 866211, 1036501, 885290]"
508,"[874972, 1004906, 8090537, 1037863, 1006664]"
509,"[874972, 1029743, 1082185, 981760, 951590]"
510,"[874972, 999858, 8293343, 862349, 1082185]"
511,"[874972, 1053690, 870547, 995242, 908531]"
